customer_id,age,tenure,monthly_charges,total_charges,contract_type,payment_method,churn
CUST_00089,48,43,95.55,4098.23,Month-to-month,Bank transfer,1
CUST_00090,65,18,77.46,1377.59,Month-to-month,Electronic check,1
CUST_00091,32,2,24.84,45.67,Month-to-month,Bank transfer,1
CUST_00092,25,6,60.53,475.88,One year,Bank transfer,1
CUST_00093,31,4,38.39,185.64,One year,Bank transfer,0
CUST_00094,40,3,55.92,158.56,One year,Mailed check,1
CUST_00095,74,10,58.34,580.56,One year,Bank transfer,0
CUST_00096,57,6,67.49,335.23,One year,Credit card,0
CUST_00097,38,5,80.03,309.87,Month-to-month,Electronic check,1
CUST_00098,33,1,77.1,114.36,Two year,Electronic check,1
CUST_00099,62,0,23.9,36.26,Month-to-month,Bank transfer,0
CUST_00100,35,2,95.07,210.41,Month-to-month,Bank transfer,1
CUST_00101,64,4,114.92,534.0,One year,Mailed check,0
CUST_00102,70,13,54.87,724.27,One year,Bank transfer,0
CUST_00103,41,17,37.97,686.3,Two year,Electronic check,0
CUST_00104,43,3,74.0,218.32,Month-to-month,Electronic check,1
CUST_00105,42,13,90.49,1051.43,One year,Electronic check,0
CUST_00106,62,10,87.89,937.21,One year,Credit card,0
CUST_00107,58,4,81.21,276.34,Month-to-month,Credit card,1
CUST_00108,46,0,34.62,12.93,Month-to-month,Electronic check,1
CUST_00109,32,15,103.68,1520.04,One year,Electronic check,0
CUST_00110,62,27,62.56,1702.43,Month-to-month,Electronic check,1
CUST_00111,18,6,42.15,336.39,Month-to-month,Electronic check,1
CUST_00112,42,3,28.63,115.79,Month-to-month,Credit card,0
CUST_00113,24,52,61.67,3247.57,Month-to-month,Mailed check,1
CUST_00114,26,7,81.8,563.83,Month-to-month,Electronic check,1
CUST_00115,41,6,86.54,504.98,Month-to-month,Mailed check,1
CUST_00116,18,46,116.27,5333.33,Month-to-month,Electronic check,1
CUST_00117,61,40,35.31,1450.61,Two year,Bank transfer,0
CUST_00118,25,14,118.58,1661.62,Month-to-month,Bank transfer,1
CUST_00119,41,16,85.47,1402.1,One year,Mailed check,1
CUST_00120,28,5,65.42,318.24,Two year,Electronic check,0
CUST_00121,68,1,108.82,159.58,Two year,Bank transfer,1
CUST_00122,34,20,89.45,1823.76,Month-to-month,Credit card,1
CUST_00123,25,2,54.87,115.37,Month-to-month,Electronic check,1
CUST_00124,52,14,108.41,1551.81,One year,Electronic check,1
CUST_00125,52,67,86.66,5857.9,Two year,Mailed check,0
CUST_00126,50,72,89.88,6564.03,Month-to-month,Mailed check,0
CUST_00127,22,6,109.64,622.76,Month-to-month,Electronic check,1
CUST_00128,59,23,64.84,1535.42,Two year,Electronic check,1
CUST_00129,56,15,85.69,1319.69,Month-to-month,Electronic check,1
CUST_00130,58,50,94.47,4769.82,One year,Mailed check,1
CUST_00131,45,7,65.39,434.45,One year,Electronic check,1
CUST_00132,24,0,28.35,5.15,Month-to-month,Bank transfer,0
CUST_00133,26,4,97.14,365.06,Month-to-month,Bank transfer,1
CUST_00134,25,10,24.78,265.35,One year,Mailed check,1
CUST_00135,29,9,91.79,782.93,One year,Bank transfer,1
CUST_00136,51,37,111.09,4178.48,Two year,Bank transfer,1
CUST_00137,50,27,54.7,1483.84,One year,Credit card,0
CUST_00138,65,8,30.21,327.94,Month-to-month,Credit card,0
CUST_00139,72,14,43.29,573.06,One year,Bank transfer,0
CUST_00140,40,2,76.23,162.53,One year,Credit card,0
CUST_00141,41,54,114.27,6175.73,One year,Bank transfer,0
CUST_00142,54,65,71.23,4663.23,Month-to-month,Mailed check,0
CUST_00143,52,72,31.27,2289.34,One year,Electronic check,1
CUST_00144,61,48,82.78,3906.92,One year,Mailed check,1
CUST_00145,57,4,93.28,432.52,One year,Electronic check,1
CUST_00146,39,1,59.33,103.92,Two year,Electronic check,1
CUST_00147,44,20,92.15,1768.18,Month-to-month,Electronic check,1
CUST_00148,52,58,52.48,3115.88,Month-to-month,Credit card,1
CUST_00149,18,4,98.91,332.51,One year,Electronic check,0
CUST_00150,52,0,54.11,13.87,Two year,Bank transfer,0
CUST_00151,54,39,45.61,1764.01,Month-to-month,Credit card,0
CUST_00152,64,1,107.92,98.9,Month-to-month,Bank transfer,1
CUST_00153,31,12,74.85,881.05,Two year,Bank transfer,0
CUST_00154,20,27,48.52,1336.22,Two year,Bank transfer,0
CUST_00155,18,6,113.51,636.75,Two year,Mailed check,1
CUST_00156,22,2,89.09,225.22,Month-to-month,Electronic check,1
CUST_00157,43,35,42.07,1499.22,Two year,Credit card,0
CUST_00158,72,23,81.46,1865.5,One year,Electronic check,0
CUST_00159,31,72,107.04,7750.78,One year,Credit card,0
CUST_00160,56,10,89.62,870.81,Month-to-month,Electronic check,1
CUST_00161,44,1,44.48,42.43,One year,Bank transfer,0
CUST_00162,26,31,84.88,2556.26,Month-to-month,Bank transfer,1
CUST_00163,32,17,81.92,1364.74,Month-to-month,Credit card,1
CUST_00164,32,5,102.08,466.63,One year,Mailed check,0
CUST_00165,43,36,37.81,1273.29,Month-to-month,Credit card,1
CUST_00166,59,5,89.96,442.0,Month-to-month,Mailed check,1
CUST_00167,30,7,22.74,153.49,Month-to-month,Bank transfer,0
CUST_00168,68,2,89.62,194.09,One year,Bank transfer,0
CUST_00169,49,12,116.04,1421.35,Month-to-month,Electronic check,1
CUST_00170,56,13,37.44,475.41,One year,Bank transfer,0
CUST_00171,66,17,51.13,894.1,One year,Electronic check,0
CUST_00172,69,29,78.29,2315.17,One year,Mailed check,0
CUST_00173,49,56,93.24,5276.34,One year,Credit card,0
CUST_00174,21,3,54.44,192.22,One year,Credit card,0
CUST_00175,47,1,86.43,110.86,Month-to-month,Bank transfer,1
CUST_00176,54,0,109.93,0.0,Month-to-month,Bank transfer,1
CUST_00177,40,3,92.66,318.43,One year,Bank transfer,1
CUST_00178,56,25,91.1,2227.9,Two year,Credit card,0
CUST_00179,62,31,58.2,1820.32,Month-to-month,Credit card,1
CUST_00180,32,37,111.14,4145.34,One year,Bank transfer,0
CUST_00181,60,6,47.73,307.94,Two year,Mailed check,0
CUST_00182,46,8,40.53,192.65,Two year,Electronic check,0
CUST_00183,53,15,56.42,886.55,Month-to-month,Electronic check,0
CUST_00184,30,1,85.02,160.47,One year,Credit card,1
CUST_00185,49,22,106.17,2256.52,Month-to-month,Credit card,1
CUST_00186,24,72,33.21,2399.99,One year,Bank transfer,0
CUST_00187,68,10,101.38,1004.4,Month-to-month,Credit card,1
CUST_00188,39,33,101.28,3344.53,One year,Mailed check,0
CUST_00189,45,16,78.69,1323.25,Two year,Bank transfer,1
CUST_00190,19,3,96.06,300.2,Two year,Bank transfer,0
CUST_00191,59,20,38.19,714.86,Two year,Bank transfer,0
CUST_00192,62,8,36.96,262.43,Month-to-month,Bank transfer,0
CUST_00193,74,0,106.28,0.0,Month-to-month,Mailed check,1
CUST_00194,70,24,69.81,1581.97,One year,Bank transfer,0
CUST_00195,23,47,44.59,2068.28,One year,Bank transfer,0
CUST_00196,45,10,88.87,922.5,Month-to-month,Credit card,1
CUST_00197,45,11,109.19,1217.74,Month-to-month,Bank transfer,1
CUST_00198,61,53,83.23,4419.76,Two year,Mailed check,0
CUST_00199,61,40,54.73,2174.76,Two year,Bank transfer,0
CUST_00200,37,30,68.32,2045.93,Month-to-month,Electronic check,1
CUST_00201,47,6,95.23,598.37,Month-to-month,Electronic check,1
CUST_00202,28,57,26.75,1567.18,One year,Bank transfer,0
CUST_00203,72,4,41.72,181.87,Two year,Electronic check,0
CUST_00204,45,23,66.26,1469.68,One year,Bank transfer,0
CUST_00205,42,0,80.42,0.0,Two year,Mailed check,1
CUST_00206,56,24,53.92,1315.93,One year,Electronic check,0
CUST_00207,50,7,49.84,315.66,Two year,Mailed check,0
CUST_00208,18,14,24.14,307.1,One year,Electronic check,0
CUST_00209,74,10,23.26,267.58,Two year,Electronic check,0
CUST_00210,44,4,47.87,231.04,Two year,Electronic check,0
CUST_00211,74,23,73.05,1632.15,Month-to-month,Electronic check,1
CUST_00212,69,51,75.64,3789.97,Month-to-month,Mailed check,0
CUST_00213,30,72,69.4,4936.36,Two year,Mailed check,0
CUST_00214,58,5,60.99,338.4,Month-to-month,Mailed check,1
CUST_00215,20,30,45.23,1314.71,Month-to-month,Electronic check,1
CUST_00216,56,26,60.07,1535.0,Two year,Electronic check,0
CUST_00217,23,10,33.88,277.14,Two year,Bank transfer,0
CUST_00218,25,0,31.53,0.72,Month-to-month,Mailed check,1
CUST_00219,44,28,49.99,1387.95,One year,Bank transfer,0
CUST_00220,26,69,119.53,8269.73,One year,Mailed check,1
CUST_00221,54,23,52.65,1228.08,Month-to-month,Credit card,0
CUST_00222,50,13,113.65,1380.15,Two year,Mailed check,1
CUST_00223,68,17,59.23,1024.54,One year,Bank transfer,0
CUST_00224,59,5,63.9,315.18,Two year,Electronic check,1
CUST_00225,61,33,99.71,3352.03,Month-to-month,Bank transfer,1
CUST_00226,41,32,29.36,898.35,Month-to-month,Bank transfer,0
CUST_00227,32,3,38.23,142.18,Two year,Electronic check,1
CUST_00228,71,50,117.38,5873.54,Month-to-month,Electronic check,1
CUST_00229,49,7,70.59,451.36,Month-to-month,Credit card,1
CUST_00230,49,72,24.43,1812.22,Two year,Credit card,0
CUST_00231,41,11,24.74,292.2,Two year,Bank transfer,0
CUST_00232,58,4,110.72,425.75,One year,Credit card,1
CUST_00233,69,10,107.34,1030.06,One year,Electronic check,1
CUST_00234,66,13,65.84,913.65,Month-to-month,Bank transfer,0
CUST_00235,66,1,36.32,79.28,Two year,Electronic check,0
CUST_00236,69,20,103.03,2061.16,Two year,Bank transfer,0
CUST_00237,29,21,52.46,1100.88,Month-to-month,Credit card,0
CUST_00238,56,32,61.91,1925.06,Month-to-month,Electronic check,1
CUST_00239,19,0,88.25,68.56,Two year,Bank transfer,1
CUST_00240,20,18,55.34,940.31,Month-to-month,Mailed check,1
CUST_00241,66,1,82.87,128.11,Two year,Mailed check,1
CUST_00242,54,28,108.53,3139.84,Two year,Credit card,1
CUST_00243,66,1,99.74,61.33,Two year,Credit card,1
CUST_00244,73,58,58.16,3348.42,One year,Electronic check,0
CUST_00245,34,29,48.79,1375.47,One year,Bank transfer,0
CUST_00246,66,16,48.55,838.87,Month-to-month,Mailed check,0
CUST_00247,19,13,54.86,719.66,One year,Electronic check,0
CUST_00248,19,3,69.35,134.08,Month-to-month,Credit card,1
CUST_00249,45,8,61.66,439.3,One year,Electronic check,1
CUST_00250,71,48,33.3,1631.57,Month-to-month,Electronic check,0
CUST_00251,40,56,36.35,1998.87,Month-to-month,Electronic check,1
CUST_00252,54,0,54.29,0.0,Month-to-month,Mailed check,0
CUST_00253,49,21,76.21,1628.53,Two year,Electronic check,0
CUST_00254,50,30,79.27,2396.56,Month-to-month,Bank transfer,1
CUST_00255,18,23,68.62,1540.33,Month-to-month,Mailed check,1
CUST_00256,36,2,93.88,170.25,Month-to-month,Mailed check,1
CUST_00257,19,5,93.72,452.07,Month-to-month,Electronic check,1
CUST_00258,70,6,62.76,366.86,Two year,Mailed check,0
CUST_00259,61,42,32.44,1430.73,One year,Mailed check,0
CUST_00260,43,14,73.02,1059.24,Month-to-month,Mailed check,0
CUST_00261,49,16,58.15,959.56,Month-to-month,Electronic check,1
CUST_00262,23,65,33.79,2191.79,Two year,Electronic check,0
CUST_00263,49,24,118.18,2798.22,One year,Electronic check,0
CUST_00264,72,54,56.98,3148.95,Month-to-month,Bank transfer,0
CUST_00265,21,14,82.58,1155.36,Month-to-month,Electronic check,1
CUST_00266,72,3,69.01,159.23,Month-to-month,Mailed check,1
CUST_00267,28,63,34.28,2310.47,Month-to-month,Bank transfer,0
CUST_00268,73,14,25.55,369.14,Two year,Credit card,0
CUST_00269,34,4,82.58,273.44,Month-to-month,Credit card,1
CUST_00270,55,8,44.7,401.64,Two year,Credit card,0
CUST_00271,41,1,44.37,92.62,One year,Credit card,0
CUST_00272,22,15,115.7,1715.43,Month-to-month,Bank transfer,1
CUST_00273,69,46,66.18,2999.6,Two year,Credit card,0
CUST_00274,51,65,22.94,1478.1,Month-to-month,Bank transfer,0
CUST_00275,23,64,53.98,3488.83,One year,Mailed check,0
CUST_00276,39,3,78.45,275.16,Two year,Mailed check,0
CUST_00277,28,11,52.86,551.0,Two year,Bank transfer,0
CUST_00278,65,0,22.69,70.56,Month-to-month,Credit card,0
CUST_00279,33,46,64.43,2887.63,Month-to-month,Electronic check,1
CUST_00280,50,10,30.59,275.92,One year,Electronic check,0
CUST_00281,26,23,81.92,1878.15,Month-to-month,Credit card,1
CUST_00282,23,30,81.96,2443.31,One year,Bank transfer,1
CUST_00283,33,13,23.78,283.39,Month-to-month,Credit card,0
CUST_00284,46,8,49.07,456.0,One year,Credit card,1
CUST_00285,20,72,61.37,4411.63,Month-to-month,Electronic check,1
CUST_00286,37,72,75.03,5420.96,Two year,Electronic check,1
CUST_00287,53,8,49.61,413.31,One year,Mailed check,1
CUST_00288,36,15,48.77,749.79,Month-to-month,Credit card,0
CUST_00289,43,72,118.3,8509.22,Two year,Electronic check,0
CUST_00290,20,0,24.19,0.0,Month-to-month,Electronic check,1
CUST_00291,36,12,118.9,1471.91,Month-to-month,Electronic check,1
CUST_00292,37,2,24.78,45.42,Month-to-month,Mailed check,1
CUST_00293,49,17,48.83,806.74,Two year,Mailed check,0
CUST_00294,24,0,69.37,0.0,Month-to-month,Credit card,1
CUST_00295,69,12,34.33,427.2,Month-to-month,Bank transfer,0
CUST_00296,58,5,33.48,142.38,Two year,Credit card,0
CUST_00297,50,18,45.63,810.42,Month-to-month,Mailed check,0
CUST_00298,57,72,117.35,8483.89,Two year,Bank transfer,1
CUST_00299,56,38,58.01,2214.57,Month-to-month,Bank transfer,1
CUST_00300,35,44,76.6,3326.53,Two year,Bank transfer,0
CUST_00301,57,24,90.43,2197.83,One year,Electronic check,1
CUST_00302,18,1,94.22,79.15,Two year,Bank transfer,0
CUST_00303,28,5,88.8,486.12,Two year,Bank transfer,0
CUST_00304,45,62,53.69,3309.6,Two year,Electronic check,0
CUST_00305,74,10,31.17,319.18,Month-to-month,Electronic check,1
CUST_00306,42,2,48.17,126.26,Two year,Electronic check,1
CUST_00307,67,29,41.03,1146.54,One year,Electronic check,0
CUST_00308,40,8,33.63,304.8,Month-to-month,Mailed check,0
CUST_00309,48,7,22.45,242.15,Two year,Mailed check,0
CUST_00310,47,72,113.57,8200.74,One year,Electronic check,0
CUST_00311,59,46,112.1,5166.76,Month-to-month,Bank transfer,1
CUST_00312,52,12,25.04,345.14,Month-to-month,Credit card,0
CUST_00313,24,72,37.31,2727.87,One year,Electronic check,0
CUST_00314,33,25,33.95,855.77,One year,Electronic check,0
CUST_00315,43,32,48.12,1492.78,One year,Bank transfer,0
CUST_00316,65,0,40.41,0.0,Month-to-month,Bank transfer,1
CUST_00317,74,3,114.59,325.58,One year,Bank transfer,0
CUST_00318,69,24,28.42,618.47,Two year,Bank transfer,1
CUST_00319,66,55,41.17,2333.72,Month-to-month,Bank transfer,0
CUST_00320,19,23,28.07,598.91,One year,Credit card,0
CUST_00321,18,3,118.04,351.61,Month-to-month,Credit card,1
CUST_00322,65,2,111.84,178.88,Month-to-month,Bank transfer,1
CUST_00323,29,44,91.66,4062.45,One year,Credit card,0
CUST_00324,22,3,62.6,237.3,Month-to-month,Bank transfer,1
CUST_00325,54,17,39.02,597.88,One year,Bank transfer,0
CUST_00326,49,0,42.15,33.06,One year,Bank transfer,0
CUST_00327,72,2,64.3,68.9,Month-to-month,Credit card,1
CUST_00328,26,26,96.82,2497.43,Month-to-month,Credit card,1
CUST_00329,58,28,46.47,1433.69,Two year,Electronic check,1
CUST_00330,52,10,51.08,524.85,Month-to-month,Bank transfer,1
CUST_00331,36,5,79.99,445.0,One year,Credit card,1
CUST_00332,65,40,43.77,1766.52,Two year,Mailed check,0
CUST_00333,33,5,78.42,384.27,Two year,Electronic check,1
CUST_00334,20,18,58.71,1026.06,One year,Electronic check,0
CUST_00335,37,72,23.44,1761.72,Month-to-month,Bank transfer,0
CUST_00336,41,3,60.27,276.87,Month-to-month,Bank transfer,1
CUST_00337,71,67,111.95,7503.35,Month-to-month,Electronic check,1
CUST_00338,73,4,49.31,257.84,One year,Bank transfer,0
CUST_00339,50,20,52.28,1089.3,Month-to-month,Credit card,1
CUST_00340,41,11,26.59,283.05,Two year,Electronic check,0
CUST_00341,69,72,81.5,5870.9,One year,Electronic check,0
CUST_00342,28,7,104.92,712.62,Month-to-month,Credit card,1
CUST_00343,66,12,55.29,765.61,Month-to-month,Credit card,1
CUST_00344,25,72,44.02,3209.9,One year,Electronic check,1
CUST_00345,53,18,115.66,2083.45,Month-to-month,Bank transfer,1
CUST_00346,55,16,94.51,1487.93,One year,Bank transfer,1
CUST_00347,57,7,76.72,562.9,Two year,Electronic check,0
CUST_00348,37,29,50.55,1400.9,Two year,Credit card,0
CUST_00349,52,0,42.08,0.0,One year,Bank transfer,1
CUST_00350,65,1,91.57,81.54,Two year,Bank transfer,0
CUST_00351,42,21,72.18,1494.71,One year,Mailed check,0
CUST_00352,52,10,72.06,710.1,One year,Credit card,0
CUST_00353,42,72,27.37,2004.6,One year,Electronic check,0
CUST_00354,46,56,71.22,4085.32,Month-to-month,Mailed check,1
CUST_00355,35,30,102.27,3103.81,Month-to-month,Mailed check,1
CUST_00356,63,40,114.68,4579.49,One year,Electronic check,0
CUST_00357,35,26,30.67,847.72,Two year,Credit card,0
CUST_00358,19,3,83.12,251.79,One year,Electronic check,1
CUST_00359,71,34,76.83,2518.95,One year,Bank transfer,1
CUST_00360,52,5,109.03,605.02,One year,Credit card,1
CUST_00361,33,9,95.12,796.8,One year,Bank transfer,1
CUST_00362,58,41,116.53,4784.37,Month-to-month,Mailed check,1
CUST_00363,53,18,116.0,2048.12,Two year,Credit card,1
CUST_00364,50,47,42.57,1943.82,One year,Bank transfer,0
CUST_00365,21,5,92.54,440.4,Month-to-month,Electronic check,1
CUST_00366,50,22,73.05,1480.32,One year,Mailed check,0
CUST_00367,31,2,41.46,48.22,Month-to-month,Bank transfer,1
CUST_00368,38,24,39.49,968.69,One year,Bank transfer,0
CUST_00369,65,34,28.11,974.07,One year,Bank transfer,0
CUST_00370,37,21,99.55,1996.94,One year,Electronic check,1
CUST_00371,73,7,52.45,415.65,Month-to-month,Bank transfer,1
CUST_00372,25,0,105.7,118.61,Month-to-month,Mailed check,1
CUST_00373,24,3,80.83,328.89,Month-to-month,Electronic check,1
CUST_00374,20,23,87.36,1982.92,One year,Credit card,0
CUST_00375,34,65,49.17,3163.08,Month-to-month,Mailed check,1
CUST_00376,50,5,65.73,283.81,Month-to-month,Mailed check,1
CUST_00377,65,31,61.23,1989.4,Two year,Credit card,0
CUST_00378,29,48,43.57,2065.44,Month-to-month,Electronic check,1
CUST_00379,68,17,103.25,1719.8,Two year,Bank transfer,1
CUST_00380,39,26,82.21,2179.34,Two year,Credit card,0
CUST_00381,72,40,23.74,1006.4,Two year,Electronic check,0
CUST_00382,39,7,101.99,762.63,Two year,Credit card,0
CUST_00383,63,8,30.6,192.07,One year,Credit card,0
CUST_00384,47,0,60.37,24.68,One year,Bank transfer,0
CUST_00385,55,72,77.13,5626.46,One year,Electronic check,0
CUST_00386,55,59,20.77,1225.54,Month-to-month,Credit card,0
CUST_00387,62,34,85.29,2914.61,Month-to-month,Bank transfer,1
CUST_00388,68,1,85.97,96.13,Month-to-month,Bank transfer,1
CUST_00389,71,14,85.25,1180.01,Month-to-month,Credit card,1
CUST_00390,25,2,36.35,95.37,One year,Mailed check,0
CUST_00391,44,0,45.57,44.46,Two year,Bank transfer,0
CUST_00392,44,22,44.74,1049.42,Two year,Credit card,0
CUST_00393,51,72,116.01,8349.96,Month-to-month,Mailed check,1
CUST_00394,38,55,26.75,1474.62,Month-to-month,Credit card,0
CUST_00395,47,28,62.88,1735.41,One year,Electronic check,0
CUST_00396,50,2,107.13,293.16,Month-to-month,Bank transfer,1
CUST_00397,45,7,96.95,657.05,Two year,Bank transfer,0
CUST_00398,64,9,102.24,915.25,One year,Electronic check,1
CUST_00399,50,34,117.23,3989.8,One year,Electronic check,0
CUST_00400,22,38,58.73,2242.18,Month-to-month,Bank transfer,1
CUST_00401,65,11,50.97,485.78,Month-to-month,Bank transfer,1
CUST_00402,36,12,23.07,304.14,Month-to-month,Bank transfer,0
CUST_00403,21,1,35.0,57.23,One year,Credit card,0
CUST_00404,52,8,76.2,617.5,Two year,Mailed check,1
CUST_00405,66,14,35.77,518.78,Month-to-month,Credit card,1
CUST_00406,34,2,93.63,184.53,Month-to-month,Electronic check,1
CUST_00407,61,14,23.72,260.19,One year,Mailed check,0
CUST_00408,45,46,45.95,2168.42,Month-to-month,Electronic check,0
CUST_00409,47,20,89.55,1718.39,Two year,Credit card,0
CUST_00410,46,1,45.55,2.02,Month-to-month,Bank transfer,0
CUST_00411,63,5,92.88,524.38,Two year,Mailed check,1
CUST_00412,70,15,119.59,1726.22,Two year,Bank transfer,0
CUST_00413,23,10,99.71,989.19,Two year,Bank transfer,0
CUST_00414,52,10,54.18,632.47,Month-to-month,Credit card,1
CUST_00415,58,18,110.06,1984.7,Month-to-month,Bank transfer,1
CUST_00416,54,21,25.12,458.64,Two year,Mailed check,0
CUST_00417,41,38,92.5,3552.62,Two year,Credit card,1
CUST_00418,46,10,22.33,245.78,One year,Credit card,1
CUST_00419,66,39,37.46,1467.02,Month-to-month,Electronic check,1
CUST_00420,63,9,118.76,966.89,Month-to-month,Bank transfer,1
CUST_00421,70,1,56.09,121.42,Two year,Mailed check,0
CUST_00422,48,19,102.05,2027.43,Month-to-month,Bank transfer,1
CUST_00423,52,21,57.61,1208.58,Month-to-month,Bank transfer,0
CUST_00424,50,65,104.0,6726.86,Month-to-month,Mailed check,1
CUST_00425,69,31,116.54,3639.41,One year,Credit card,0
CUST_00426,38,59,63.55,3776.72,Month-to-month,Mailed check,0
CUST_00427,49,57,75.93,4359.63,One year,Bank transfer,0
